num,id,length,brood,date, code,perim,perim2,perim3
1,0DF8T,1.22,1,2024-11-26,0,3.642,3.342,3.342
2,0DF8T,1.22,1,2024-11-26,0,3.811,3.427,3.427
3,0DF8T,1.16,1,2024-11-26,0,3.884,3.606,3.606
4,0DF8T,1.17,1,2024-11-26,0,3.743,3.494,3.494
5,0DF8T,1.16,1,2024-11-26,0,3.459,3.465,3.465
6,0DF8T,1.18,1,2024-11-26,0,4.018,3.729,3.729
7,0DF8T,1.24,1,2024-11-26,0,3.931,3.556,3.556
8,0DF8T,1.22,1,2024-11-26,0,3.35,3.307,3.307
9,0DF8T,1.22,1,2024-11-26,0,4.157,3.794,3.794
10,0DF8T,1.23,1,2024-11-26,0,3.604,3.51,3.51
11,0DF8T,1.25,1,2024-11-26,0,3.798,3.449,3.448
12,0DF8T,1.19,1,2024-11-26,0,3.799,3.548,3.548
13,0DF8T,1.13,1,2024-11-26,0,3.644,3.524,3.523
14,0DF8T,1.19,1,2024-11-26,0,3.911,3.577,3.577
15,0DF8T,1.21,1,2024-11-26,0,3.547,3.521,3.521
16,0DF8T,1.25,1,2024-11-26,0,3.427,3.396,3.396
17,0DF8T,1.2,1,2024-11-26,0,3.694,3.688,3.688
18,0DF8T,1.22,1,2024-11-26,0,3.487,3.527,3.527
19,0DF8T,1.24,1,2024-11-26,0,3.449,3.459,3.459
20,0DF8T,1.19,1,2024-11-26,0,3.633,3.552,3.551
21,0DF8T,1.23,1,2024-11-26,0,3.457,3.54,3.539
22,0DF8T,1.24,1,2024-11-26,0,3.678,3.569,3.569
23,0DF8T,1.2,1,2024-11-26,0,3.553,3.774,3.774
24,0DF8T,1.21,1,2024-11-26,0,3.523,3.511,3.511
25,0DF8T,1.22,1,2024-11-26,0,3.446,3.501,3.5
26,0DF8T,1.08,1,2024-11-26,0,3.638,3.536,3.535
27,0DF8T,1.21,1,2024-11-26,0,3.588,3.503,3.503
28,0DF8T,1.21,1,2024-11-26,0,3.586,3.499,3.499
29,0DF8T,1.21,1,2024-11-26,0,3.716,3.561,3.561
30,0DF8T,1.16,1,2024-11-26,0,3.741,3.511,3.511