num,id,length,brood,date,code,perim,perim2,perim3
1,NJHRZ,0.92,2,2025-01-31,0,3.492,3.427,3.46
2,NJHRZ,1.18,2,2025-01-31,0,3.17,3.111,3.14
3,NJHRZ,1.13,2,2025-01-31,0,3.19,3.13,3.16
4,NJHRZ,1.03,2,2025-01-31,0,3.404,3.341,3.373
5,NJHRZ,0.9,2,2025-01-31,0,3.455,3.391,3.423
6,NJHRZ,1.14,2,2025-01-31,0,3.668,3.599,3.633
7,NJHRZ,1.16,2,2025-01-31,0,3.675,3.607,3.641
8,NJHRZ,1.13,2,2025-01-31,0,2.763,2.712,2.737
9,NJHRZ,1.19,2,2025-01-31,0,3.539,3.473,3.506
10,NJHRZ,1.19,2,2025-01-31,0,3.61,3.543,3.576
11,NJHRZ,1.16,2,2025-01-31,0,3.604,3.537,3.57
12,NJHRZ,1.15,2,2025-01-31,0,2.861,2.807,2.834
13,NJHRZ,1.15,2,2025-01-31,0,3.732,3.663,3.697
14,NJHRZ,1.18,2,2025-01-31,0,3.667,3.599,3.633
15,NJHRZ,0.94,2,2025-01-31,0,3.519,3.454,3.487
16,NJHRZ,1.15,2,2025-01-31,0,3.478,3.414,3.446
17,NJHRZ,1.17,2,2025-01-31,0,3.506,3.441,3.473
18,NJHRZ,1.06,2,2025-01-31,0,3.447,3.383,3.415
19,NJHRZ,1.16,2,2025-01-31,0,3.567,3.501,3.534
20,NJHRZ,1.19,2,2025-01-31,0,3.683,3.614,3.648
21,NJHRZ,1.08,2,2025-01-31,0,3.548,3.483,3.515
22,NJHRZ,,2,2025-01-31,0,2.619,2.57,2.594
23,NJHRZ,,2,2025-01-31,0,3.083,3.026,3.054
24,NJHRZ,,2,2025-01-31,0,3.308,3.247,3.277
25,NJHRZ,,2,2025-01-31,0,3.016,2.96,2.988
26,NJHRZ,,2,2025-01-31,0,2.636,2.587,2.611
27,NJHRZ,,2,2025-01-31,0,2.809,2.756,2.782
27,NJHRZ,,2,2025-01-31,0,3.24,3.18,3.209
27,NJHRZ,,2,2025-01-31,0,3.059,3.003,3.031
27,NJHRZ,,2,2025-01-31,0,2.611,2.562,2.586
27,NJHRZ,,2,2025-01-31,0,2.695,2.645,2.67
27,NJHRZ,,2,2025-01-31,0,3.588,3.521,3.555
27,NJHRZ,,2,2025-01-31,0,2.524,2.477,2.5
27,NJHRZ,,2,2025-01-31,0,3.418,3.355,3.386
27,NJHRZ,,2,2025-01-31,0,3.211,3.151,3.181
27,NJHRZ,,2,2025-01-31,0,3.653,3.585,3.619
27,NJHRZ,,2,2025-01-31,0,2.683,2.633,2.658
27,NJHRZ,,2,2025-01-31,0,2.622,2.573,2.597
27,NJHRZ,,2,2025-01-31,0,2.691,2.641,2.666